#,German,English,Srpski
130,zufrieden,"pleased, satisfied (befriedigt, or ...)","Задовољство, задовољан (Бефриедигт, или ...)"
131,wütend,furious ('w_'),Фуриоус ('В_')
132,der Fisch; -e,the fish,риба
133,vorwärts,"forward, forwards, ahead","напред, напред, напред"
134,die Vergangenheit; -en,the past,прошлост
135,überleben,to survive,да преживе
136,der Agent; -en; -en,the agent,Агент
137,die Position; -en,the position ('p_'),Позиција ('П_')
138,die Küche; -n,the kitchen,кухиња
139,der Ring; -e,the ring,прстен
140,die Gegend; -en,"the area, neighborhood, region","Подручје, суседство, регион"
141,nah,near,близу
142,die Verbindung; -en,"the connection, the combination, the link","Веза, комбинација, веза"
143,das Kleid; -er,the dress (generally worn by women),хаљина (углавном носе жене)
144,die Ecke; -n,the corner,угао
145,das Radio; -s,the radio,Радио
146,das Eis,the ice (no plural),лед (без множине)
147,witzig,"witty, funny","духовит, смешан"
148,kurzlebig,"short-lived, transient, ephemeral","краткотрајан, пролазно, ефемерно"
149,~ zufolge,according to ~ (not 'n...'),Према ~ (не 'н ...')
150,"der Flug; -""e",the flight,лет
151,halb,half,половина
152,England,England,Енглеска
153,bauen,to build,изградити
154,entscheiden,"to decide (bestimmen, beschließen, or ...)","одлучити (Бестиммен, бесхлал, или ...)"
155,erledigen,"to settle (issue), handle (problem), do","да се подмири (проблем), рукује (проблем), урадити"
156,zerstören,to destroy,да уништи
157,die Maschine; -n,the machine,машина
158,beschäftigt,busy,Заузет
159,der Sommer; -,the summer,лето
160,der Respekt,the respect ('Hinsicht' or ...),"Поштовање (""Хинсицхт"" или ...)"
161,schließlich,"at last, finally ('s')","Напокон, коначно ('с')"
162,die Adresse; -n,the address,адреса
163,die Fahrt; -en,"the journey, trip ('F_')","путовање, путовање ('ф_')"
164,beginnen,to begin ('b_'),за почетак ('б_')
165,die Aufgabe; -n,"the task, assignment, purpose, duty, surrender, job","задатак, задатак, сврха, дужност, предаја, посао"
166,hängen,to hang,да виси
167,feiern,to celebrate,прославити
168,weinen,to cry (with tears),плакати (са сузама)
169,betrunken,drunk,пијан
170,die Beziehung; -en,the relationship,Веза
171,"der Wald; -""er",the forest,шума
172,soweit,"insofar as, as far as, provided (that), to the extent (that) (it be possible) (not
'insofern')","у оној мери, колико, колико је, у мјери (то) (то) (то) (не)
'Инсофарн')"
173,stimmen,"to tune (instrument), vote, add up (be correct)","да подесите (инструмент), гласајте, додајте (бити тачни)"
174,der Park; -s,the park,парк
175,danken,to thank,да се захвалим
176,schwierig,"difficult, (schwer, or ...)","Тешко, (Сцхвер, или ...)"
177,die Hälfte; -n,the half,половина
178,besorgt,worried,забринут
179,der Koffer; -,the suitcase,кофер
180,die Pistole; -n,"the gun, pistol","пиштољ, пиштољ"
181,die Brücke; -n,the bridge,мост
182,"der Knast; -""e","the jail, the slammer (colloquial)","Затвор, Сламмер (колоквијални)"
183,gesund,healthy,здрав
184,der Quatsch,the nonsense (no plural) ('Q_'),Нонсенсе (без множине) ('К_')
185,wünschen,to wish,да пожели
186,der Unterschied; -e,the difference,разлика
187,leiden,to suffer,патити
188,leisten,"to achieve, accomplish, render, perform (a service), make (a payment)","да постигну, постигну, рендерирају, наступају (услугу), чине (плаћање)"
189,das Tor; -e,the gate,капија
190,"der Glückwunsch; -""e",the best wishes,најбоље жеље
191,der Soldat; -en,the soldier,војник
192,"der Baum; -""e",the tree,дрво
193,davor,"beforehand, before that","унапред, пре тога"
194,verdienen,to earn,да зарадим
195,das System; -e,the system,систем
196,der Club; -s,"the club (..., 'Klub', 'Verein')","Клуб (..., ""Клуб"", 'Вереин')"
197,das Lächeln; -,the smile,осмех
198,lächeln,to smile,да се осмехне
199,das Abendessen; -,the supper ('Abendbrot' or ...),вечера ('абендброт' или ...)
200,die Flasche; -n,the bottle,боца
201,schützen,to protect,да заштити
202,leer,empty,празан
203,schließen,"to close, shut, conclude, infer","затворити, затворити, закључити, закључити"
204,rauchen,to smoke,пушити
205,das Rauchen,the smoking (no plural),Пушење (без множине)
206,"der Vogel; -""",the bird,птица
207,verantwortlich,responsible ('v_'),одговоран ('в_')
208,"das Dach; -""er",the roof,кров
209,der Lehrer; -,the teacher,наставник
210,steigen,to rise; to increase; to climb,да расте; повећати; да се попне
211,stiften,"to donate, endow, bring about (e.g. peace)","да донира, дај, донеси, донеси (нпр. мир)"
212,die Katze; -n,the cat,мачка
213,das Tier; -e,the animal,животиња
214,rennen,to run ('r_'),да се покрене ('р_')
215,das Gehirn; -e,the brain,мозак
216,das Theater; -,the theatre,позориште
217,der Erfolg; -e,the success,успех
218,"der Fluss; -""e",the river,река
219,blöd,"stupid, silly, dumb (not 'd...')","Глупо, глупо, глупо (није 'д ...')"
220,die City,"the city, downtown (no plural)","Град, центар града (без множине)"
221,küssen,to kiss,љубити
222,vermutlich,probably ('wahrscheinlich' or ...),вероватно ('вахрсцхеинлицх' или ...)
223,kosten,to cost,да кошта
224,der Haufen; -,the pile,гомила
225,"die Wand; -""e","the wall (Mauer, or ...)","зид (Мауер, или ...)"
226,brechen,to break (into two),да се разбију (у два)
227,der Grad; -e,the degree (a unit of measure),степен (јединица мере)
228,übernehmen,"to assume, to take over, take on","претпоставити, преузети, преузети"
229,zuvor,"previously, before ('z_')","претходно, пре ('з_')"
230,die Natur; -en,"the nature, character, natural world","природа, карактер, природни свет"
231,englisch,English (adj.),Енглески (адј.)
232,Englisch,English (language),Енглески језик)
233,der Angriff; -e,"the attack ('Überfall, Anschlag' or ...)","напад ('уберфалл, ансцхлаг' или ...)"
234,die Möglichkeit; -en,the possibility,могућност
235,lächerlich,"ridiculous, laughable, absurd","смешан, смешан, апсурдан"
236,die Farbe; -n,the color,боја
237,fassen,"to grasp, catch, conceive (understand) ""f_')","Да бисте схватили, ухватили, зачети (разумети) ""ф_ ')"
238,reisen,to travel,путовати
239,die Spur; -en,the track; the lane (in traffic); the trace (of sth.),стаза; трака (у саобраћају); траг (шта.)
240,das Frühstück; -e,the breakfast,доручак
241,offensichtlich,"obviously, obvious, apparent, apparently (O_)","Очигледно, очигледно, очигледно, очигледно (О_)"
242,mitkommen,to come along,да пођеш
243,die Runde; -n,the lap (in sports),крило (у спорту)
244,das Wochenende; -n,the weekend,Викенд
245,zufällig,by chance,случајно
246,der Untertitel; -,"the subtitle, subheading, subtitles, caption","Субтитле, поднаслов, титлови, натпис"
247,tragbar,"portable, sustainable, acceptable, wearable, hand-held","преносиви, одрживи, прихватљиви, носиви, ручни"
248,fern,"far, distant (weit, entfernt, ... )","Далеко, удаљено (Веит, Ентфернт, ...)"
249,geschlossen,closed,затворен
250,der Mond; -e,the moon,Месец
251,unternehmen,to undertake,да предузме
252,die Hose; -n,the pants,панталоне
253,"der Rock; -""e","the skirt, rock (stone), rock music","сукња, роцк (камен), рок музика"
254,der Rock,the rock music (no plural),Роцк музика (без множине)
255,das Pfund; -e,the pound (weight),фунта (тежина)
256,warm,warm,топло
257,"die Braut; -""e",the bride,Невеста
258,versprechen,to promise,да обећам
259,die Reihe; -n,the row,ред
260,fantastisch,fantastic,фантастичан
261,die Sprache; -n,the language,језик
262,irgendwelche,"any (irgendein, ... )","било који (иргендеин, ...)"
263,das Gespräch; -e,"the conversation (not 'U..', 'K..')","Разговор (не 'у ..', 'к ..')"
264,"der Flughafen; -""",the airport,Аеродром
265,"der Wunsch; -""e",the wish,жеља
266,morgens,in the morning ('m_'),Ујутро ('м_')
267,aufpassen,"to pay attention (auf etwas achten, ...)","Да бисте обратили пажњу (Ауф Етвас Ацхтен, ...)"
268,mitten,in the middle (one word),у средини (једна реч)
269,stören,"to disturb, disrupt, interfere","да узнемирава, ометају, ометају"
270,der Stein; -e,the stone,камен
271,die Pause; -n,"the break, the intermission (Unterbrechung, or ...)","пауза, интермесе (Унтербрецхунг, или ...)"
272,der Nachmittag; -e,the afternoon,поподне
273,"der Auftrag; -""e",the order (commerce); the assignment,налог (трговина); задатак
274,der Regen; -,the rain (no plural),киша (без множине)
275,einverstanden,"agreed, all right!","Договорено, у реду!"
276,gemeinsam,"common, mutual, together","уобичајено, обострано, заједно"
277,dorthin,to there,тамо
278,bedeuten,"to mean (not meinen, heißen, beabsichtigen)","значи (не меинен, хеиßен, беабицхтиген)"
279,schwarz,black,црн
280,die Lüge; -n,the lie,лаз
281,die Post; -en,"the mail, post (BR), post office","пошта, пошта (бр), пошта"
282,"der Schaden; -""",the damage,штета
283,"der Tanz; -""e",the dance,плес
284,der Urlaub; -e,the vacation (for working people),Одмор (за радничке људе)
285,dick,"thick, fat","дебела, масноћа"
286,die Gelegenheit; -en,the opportunity,прилика
287,die Folge; -n,the consequence ('Konsequenz' or ...),"последица (""Конкурентз"" или ...)"
288,herausfinden,to find out,открити
289,die Verantwortung; -en,the responsibility (not '...keit'),"Одговорност (не ""... ... ... ..."
290,das Thema; die Themen,the topic,тема
291,leise,"quiet, quietly","тихо, тихо"
292,der Keller; -,"the cellar, the basement","подрум, подрум"
293,versagen,"to fail (machines, computers), malfunction, break down, deny","да пропадне (машине, рачунари), квар, распадајте се, негирати"
294,die Erfahrung; -en,the experience (not 'erlebnis'),Искуство (не 'Ерлебнис')
295,dauern,"to last, to take/require (time) continue on","да траје, преузме / захтева (време) наставља се даље"
296,"das Schloss; -""er",1. the lock. 2. the castle,1. Брава. 2. Дворац
297,das Angebot; -e,the offer,понуда
298,umsonst,"free, without cost, for nothing, in vain","бесплатно, без трошкова, за ништа, узалуд"
299,"der Anzug; -""e",the suit (man's suit),Одијело (човеково одијело)
300,beenden,"to finish (abschließen, fertigstellen, or ...)","Завршити (Абсцхлиеßен, Фертигстеллен или ...)"
301,"der Strand; -""e",the beach,плажа
302,"das Grab; -""er",the grave,гроб
303,das Restaurant; -s,the restaurant ('R_'),Ресторан ('Р_')
304,rot,red,црвено
305,der Schatten; -,the shade,нијанса
306,"der Gang; -""e","course, gear (transmission), aisle","курс, зупчаник (пренос), пролаз"
307,das Lager; -,the warehouse,складиште
308,aufstehen,"to stand up, to get up","да устанем, да устанем"
309,der Sieg; -e,the victory,победа
310,nerven,"to bug (sb) annoy (sb), get on someone's nerves","у буг (сб) нервирање (сб), ући на нечије живце"
311,die Kugel; -n,"the ball, the scoop","лопта, лопатица"
312,die Milch,the milk (no plural),млеко (без множине)
313,schwanger,pregnant,трудни
314,die Gewalt,the violence (no plural),насиље (без множине)
315,Frankreich,France,Француска
316,die Schönheit; -en,the beauty,лепота
317,zweimal,twice,два пута
318,die Pflicht; -en,the duty,дужност
319,"die Kunst; -""e",the art,уметност
320,"der Kuss; -""e",the kiss,пољубац
321,schwimmen,to swim,пливати
322,das Knie; -,the knee,колено
323,der Priester; -,the priest,свештеник
324,die Form; -en,"the shape, the form ('Gestalt' or ...)","облик, облик (""гесталт"" или ...)"
325,beruhigen,to calm,да се смири
326,blind,blind,слеп
327,der Kurs; -e,1. the course. 2. the exchange rate,1. Курс. 2. Курс
328,"der Großvater; -""",the grandfather,деда
329,entkommen,"to escape (entgehen, ..., flüchten)","да побегне (Ентгехен, ..., Флуцхтен)"
330,der Fahrer; -,the male driver,Мушки возач
331,die Million; -en,the million,милион
332,das Risiko; die Risiken,the risk (not 'G...'),ризик (не 'г ...')
333,der Test; -s,"the test, trial, quiz","Тест, суђење, квиз"
334,ähnlich,similar,сличан
335,mindestens,at least ('m_'),Бар ('м_')
336,die Grenze; -n,"the border, limit, boundary","граница, граница, граница"
337,die Bühne; -n,the (performance) stage,фаза (перформансе)
338,der Anhänger; -,"trailer (vehicle), follower, supporter","Приколица (возило), Фолловер, Коприва"
339,bedauern,"to regret (sth), be sorry (about sth), feel sorry (for sb) (not 'bereuen')","Жалим (стх), буди жао (о стх), жао ми је (за сб) (не 'береуен')"
340,das Interesse; -n,the interest (e.g. to have an interest in smth),интересовање (нпр. да се интересује за смтх)
341,das Kino; -s,the cinema,биоскоп
342,die Einheit; -en,"the unity, the whole","јединство, целина"
343,der Sonntag; -e,the Sunday,недеља
344,erforderlich,"required, necessary (not 'n...')","потребан, неопходан (не 'н ...')"
345,schulden,to owe (verdanken or ...),да дугује (верданкен или ...)
346,der Stern; -e,the star,Звезда
347,dunkel,dark,мрак
348,scheinen,"to seem, to appear, to shine, gleam, glisten","изгледа да се појаве, да сјаји, блистају, блистају"
349,der Blödsinn; -e,the nonsense ('B_'),Тхе Глунсе ('Б_')
350,der Freitag; -e,the Friday,петак
351,"der Zufall; -""e","Coincidence, accident, fluke, chance occurence","Случајност, несрећа, флуке, појаве шансе"
352,hinterlassen,to leave behind,оставити за собом
353,fair,fair,сајам
354,locker,"loose, relaxed, cool","лабав, опуштен, цоол"
355,nachdenken,"to consider, contemplate, reflect ('n_')","Размотрити, размишљати, одражавати ('н_')"
356,satt,"replete, sated, full","Попуните, САТЕР, ФУЛЛ"
357,hoffen,to hope,надати се
358,die Energie; -n,the energy,енергија
359,die Oma; -s,the grandma (colloquial),бака (колоквијална)
360,"die Großmutter; -""",the grandmother,бака
361,der Dieb; -e,the male thief,мушки лопов
362,der Beweis; -e,"the evidence, proof, verification (Nachweis, Beleg, or ...)","Докази, доказ, верификација (Нацхвеис, Белег или ...)"
363,verbringen,"to spend (time), to take/bring (sb) somewhere","провести (време), да негде узимати / донесе (СБ)"
364,"der Garten; -""",the garden,врт
365,"der Mantel; -""",the coat,капут
366,das Brot; -e,"the bread, the sandwich","хлеб, сендвич"
367,die Lösung; -en,the solution,раствор
368,das Wetter,the weather (no plural),Време (без множине)
369,schätzen,"to estimate, value, appreciate","да процени, вредност, цените"
370,der Champagner,the champagne (produced within the Champagne region of France) (no plural),Шампањац (произведено у регији Француске шампањца) (без множине)
371,das Publikum; die Publika,the audience,публика
372,dringend,"urgent, desperately, pressing, urgently","хитно, очајнички, хитно притискање"
373,der Bulle; -n,the bull,бик
374,"der Stuhl; -""e",the chair (no arms),столица (без оружја)
375,ebenso,just as,баш као
376,der Schutz; -e,the protection,заштита
377,weshalb,"why (warum, ..., wieso)","Зашто (варум, ..., Виесо)"
378,die Karriere; -n,the career ('K_'),Каријера ('К_')
379,kochen,to cook,Кувати
380,der Norden,the north (no plural),Север (без множине)
381,nachher,"afterwards, later (not 'd')","Након тога, касније (не 'д')"
382,anhalten,"to stop/halt (sth), to hold (sth) (one's breath) to hold on (last, endure)","да се заустави / заустави (стх), да задржи (стх) (нечији дах) да се држи (последње, издржљиво)"
383,abends,in the evening,увече
384,"der Hintergrund; -""e",the background,позадина
385,der Schüler; -,the pupil (primary or secondary school),Ученик (основна или средња школа)
386,die Krankheit; -en,"the illness (Erkrankung, or ...)",болест (Еркранкунг или ...)
387,Europa,Europe (n.),Европа (н.)
388,der Süden,the south (no plural),Југ (без множине)
389,hassen,to hate,да мрзе
390,beinahe,"almost (fast, ... )","Скоро (брзо, ...)"
391,klug,"clever, smart, savvy (not 'schlau, 'clever')","Паметан, паметан, паметан (не ""Сцхлау,"" паметан ')"
392,die Abteilung; -en,the department (not 'D...'),Одељење (није 'д ...')
393,träumen,to dream,сањати
394,die Vorstellung; -en,"the imagination, notion, introduction (first meetings), perception, idea, concept","машта, појам, увод (прве састанке), перцепција, идеја, концепт"
395,schick,"fashionable, fancy, chic, posh","Модни, фанци, цхиц, посх"
396,der Samstag; -e,the Saturday,Субота
397,"der Gast; -""e",the guest,гост
398,die Mitte; -n,the middle,средина
399,das Tausend; -e,the thousand,хиљаду
400,das Ohr; -en,the ear,уво
401,der Berg; -e,the mountain,планина
402,die Rose; -n,the rose,ружа
403,die Erinnerung; -en,"the memory, reminder","меморија, подсетник"
404,normalerweise,normally,нормално
405,aufgeben,"to relinquish, surrender, give up (on sth) forsake, quit","да се одрекне, предају се, одустане од (на стх), одустане од"
406,"der Ton; -""e","the tone, the sound, the note","тон, звук, белешка"
407,das Gebiet; -e,"the area, terrority, region","Подручје, тероритет, регион"
408,der Westen,the west (no plural),Запад (без множине)
409,der Zweifel; -,the doubt,сумња
410,der Staat; -en,the state,држава
411,stehlen,to steal,украсти
412,einander,"each other, one another","једни друге, једни друге"
413,merken,"to notice, to realise (m~)","да се примети, реализовати (м ~)"
414,der Direktor; -en,the director,режисер
415,der Kuchen; -,the cake,торта
416,wundervoll,marvelous,чудесан
417,die Kohle; -n,the coal,угаљ
418,springen,to jump,скочити
419,teuer,expensive,скупо
420,die Medizin; -en,the medicine (not 'Medikament'),"Медицина (не ""Медикамент"")"
421,das Video; -s,the video,Видео
422,scharf,"sharp, spicy","оштар, зачињен"
423,der Beruf; -e,the profession,професија
424,das Hemd; -en,the shirt,мајица
425,abholen,to pick (sb) up (at the airport),да бирам (СБ) горе (на аеродрому)
426,trotz,in spite of,упркос
427,langweilig,boring,досадан
428,die Rechnung; -en,"the bill, the invoice, the calculation","рачун, фактура, израчунавање"
429,der Termin; -e,"the appointment, the date ('Verabredung' or ...)","Именовање, датум ('ВераБред ""или ...)"
430,erlauben,"to allow, permit ('e_')","Да бисте дозволили, дозволи ('е_')"
431,wetten,"to bet, wager","да се клади, кладио"
432,der Spiegel; -,the mirror,огледало
433,enden,"to end (not a..., b...)","завршити (не ..., б ...)"
434,die Menschheit,"the humanity, human race, human kind, mankind (no plural) ('M_')","Човечанство, људска раса, људска врста, човечанство (без множине) ('м_')"
435,nieder,"down, low, mean","доле, ниско, значи"
436,selbstverständlich,"self-evident, taken for granted '(s_')","Очигледно, узето здраво за готово '(С_')"
437,"der Sturm; -""e",the storm,Олуја
438,lösen,to solve,решити
439,der Motor; -en,the motor,мотор
440,reiten,to ride,возити
441,funktionieren,to function,да функционише
442,überprüfen,to review; to check; to verify ('ü_'),за преглед; проверити; да потврди ('у_')
443,unterschreiben,"to sign a signature, to sign at the bottom (of a document)","да потпишете потпис, да потпишете на дну (документа)"
444,schwach,weak,слаб
445,der Winter; -,the Winter,зима
446,entlassen,"to dismiss, release, discharge (from a job or position)","отпустити, ослобађање, пражњење (од посла или положаја)"
447,handeln,"to deal, act, trade, negotiate, bargain","да се бави, дјелује, тргује, преговарај, преговарајте"
448,"die Brust; -""e","the breast, the chest","груди, груди"
449,die Größe; -n,"the height, the size","висина, величина"
450,die Zigarette; -n,the cigarette,цигарета
451,zählen,to count,да рачуна
452,das Handy; -s,the cell phone (not 'Mobiltelefon'),мобител (не 'мобилтелефон'))
453,seitdem,"since which (seither, ... )",Од којих (невики ...)
454,das College; -s,"the college, university (not 'Hochschule', 'Universität')","Факултет, универзитет (не 'хоцхсцхуле', 'Университат')"
455,die Toilette; -n,"the restroom, lavatory","тоалет, тоалет"
456,neulich,"recent, recently, lately, newly ('n_')","Недавно, недавно, у последње време, ново ('н_')"
457,hauen,"to chop, cut, bash, hew, hit ('h_')","да сече, сече, басх, хев, хит ('х_')"
458,widmen,"to dedicate, devote","да се посвете, посвећено"
459,die Tatsache; -n,the fact ('T~'),Чињеница ('т ~')
460,freundlich,friendly,пријатељски
461,der Selbstmord; -e,the suicide,самоубиство
462,annehmen,"to accept, take, adopt, assume, suppose (not 'ak...')","да прихватите, узмите, усвоји, претпоставимо, претпоставимо (не 'АК ...')"
463,besprechen,to discuss ('b_'),да разговарамо ('б_')
464,die Zunge; -n,the tongue,језик
465,die Treppe; -n,the stair,степениште
466,der Streit; -e,the argument ('S_'),Аргумент ('С_')
467,"der Bauch; -""e","the belly, stomach (Magen, or ...)","трбух, стомак (маген или ...)"
468,eifersüchtig,jealous ('neidisch' or ...),љубоморан ('неидисцх' или ...)
469,die Decke; -n,1. the blanket. 2. the ceiling,1. ћебе. 2. Плафон
470,drücken,to press,да притиснете
471,der Deutsche; -n; -n,the German person,Немачка особа
472,erste,first,први
473,außerhalb,"outside, beyond (3 syllables)","напољу, изван (3 слога)"
474,der Montag; -e,the Monday,у понедељак
475,peinlich,embarrassing,посрамљујући
476,schlau,"smart, schrewd, clever, sly (not 'klug,' 'clever')","Смарт, Сцхредд, Цлевер, Сли (не 'Клуг, ""Паметно"")"
477,blau,"blue, drunk","плава, пијана"
478,wild,wild,дивљи
479,frisch,fresh,свеж
480,der Inspektor; -en,the inspector,инспектор
481,mehrere,"several, various, umpteen (col) ('m_')","Неколико, разне, упптеен (цол) ('м_')"
482,aufmachen,to open up ('a_'),да се отвори ('а_')
483,die Eisenbahn; -en,the railway,железница
484,das Papier; -e,"the paper, the document","Папир, документ"
485,zurückkommen,"to return, to come back (zurückehren, rückkehren, or ...)","да се вратим, да се вратим (Зуруцкехрен, Руцккехрен, или ...)"
486,landen,"to land, disembark, touch down","да слети, искрцаје, додирните"
487,vergeben,1. to forgive 2. to award,1. Опростите 2. награда
488,verhaften,to arrest,ухапсити
489,das Talent; -e,the talent (not 'B...'),Таленат (не 'б ...')
490,"der Geschmack; -""e",the taste,укус
491,das Labor; -s,the laboratory,лабораторија
492,zwölf,twelve,дванаест
493,ausgehen,"to go out (with sb) (date sb), to end, finish (run out, expire) ('a_')","да изађете (са СБ) (датум СБ), завршити, завршити (понестало, истиче) ('А_')"
494,der Griff; -e,"the grip, (mus.) the fingering","стисак, (мус.) Првенство"
